group,no,length,width,stalk
HSE,1,83,87,74
HSE,2,130,153,105
HSE,3,140,148,135
HSE,4,102,110,94
HSE,5,190,151,89
HSE,6,225,139,91
HSE,7,195,165,76
HSE,8,216,135,113
HSE,9,250,195,119
HSE,10,152,168,158
HSE,11,100,97,52
HSE,12,170,155,90
HSE,13,126,160,120
HSE,14,100,125,118
HSE,15,210,166,88
HSE,16,142,155,132
HSE,17,102,105,70
HSE,18,162,175,135
HSE,19,102,125,83
HSE,20,165,150,98
HSE,21,92,154,99
HSE,22,95,131,82
HSE,23,99,119,60
HSE,24,98,125,80
HSE,25,89,103,71
HSE,26,130,165,175
HSE,27,95,121,106
HSE,28,120,180,102
HSE,29,85,150,109
HSE,30,120,142,94
HSE,31,140,148,135
HSE,32,93,134,92
HSE,33,185,93,101
HSE,34,96,121,106
HSE,35,225,116,119
HYB,1,51,67,36
HYB,2,88,125,103
HYB,3,78,112,76
HYB,4,97,129,61
HYB,5,81,118,107
HYB,6,72,101,65
HYB,7,120,159,107
HYB,8,79,136,73
HYB,9,96,135,94
HYB,10,90,130,117
HYB,11,76,89,84
HYB,12,98,144,99
HYB,13,88,114,79
HYB,14,88,124,112
HYB,15,92,129,82
HYB,16,105,151,110
HYB,17,91,135,77
HYB,18,43,60,31
HYB,19,71,99,63
HYB,20,57,96,60
HYB,21,70,95,72
HYB,22,97,126,80
HYB,23,96,127,89
HYB,24,72,85,46
HYB,25,73,118,79
HYB,26,74,104,72
HYB,27,77,96,63
HYB,28,68,100,71
HYB,29,65,80,34
HYB,30,47,70,42
HYB,31,42,60,41
HYB,32,106,146,98
HYB,33,109,144,107
HYB,34,96,89,115
HYB,35,78,88,64
